@relation cscsp

@attribute close numeric
@attribute hour numeric
@attribute consecutivedowns {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
266.63, 20.0, BUCKET1, BUCKET4, BUCKET2, BUCKET8, BUCKET1, BUCKET4, BUCKET2, BUCKET3, BUCKET10, BUCKET6, BUCKET4, BUCKET5, BUCKET3, BUCKET2, BUCKET4, No
266.58, 20.0, BUCKET2, BUCKET4, BUCKET3, BUCKET8, BUCKET1, BUCKET4, BUCKET1, BUCKET2, BUCKET10, BUCKET6, BUCKET4, BUCKET7, BUCKET2, BUCKET2, BUCKET4, No
266.98, 19.0, BUCKET1, BUCKET5, BUCKET4, BUCKET8, BUCKET1, BUCKET4, BUCKET2, BUCKET3, BUCKET10, BUCKET6, BUCKET5, BUCKET6, BUCKET2, BUCKET2, BUCKET5, No
266.84, 19.0, BUCKET2, BUCKET4, BUCKET3, BUCKET8, BUCKET1, BUCKET3, BUCKET2, BUCKET2, BUCKET10, BUCKET6, BUCKET4, BUCKET7, BUCKET3, BUCKET2, BUCKET5, No
266.93, 19.0, BUCKET1, BUCKET5, BUCKET4, BUCKET9, BUCKET1, BUCKET2, BUCKET2, BUCKET2, BUCKET10, BUCKET6, BUCKET4, BUCKET4, BUCKET2, BUCKET2, BUCKET5, No
266.74, 19.0, BUCKET6, BUCKET4, BUCKET3, BUCKET9, BUCKET1, BUCKET2, BUCKET2, BUCKET2, BUCKET10, BUCKET6, BUCKET3, BUCKET8, BUCKET2, BUCKET2, BUCKET5, No
267.73, 18.0, BUCKET6, BUCKET6, BUCKET5, BUCKET8, BUCKET2, BUCKET2, BUCKET2, BUCKET2, BUCKET10, BUCKET6, BUCKET2, BUCKET9, BUCKET2, BUCKET2, BUCKET6, No
267.75, 18.0, BUCKET5, BUCKET6, BUCKET5, BUCKET8, BUCKET2, BUCKET2, BUCKET1, BUCKET2, BUCKET10, BUCKET6, BUCKET3, BUCKET8, BUCKET2, BUCKET2, BUCKET7, No
268.51, 18.0, BUCKET4, BUCKET7, BUCKET6, BUCKET8, BUCKET3, BUCKET2, BUCKET2, BUCKET3, BUCKET10, BUCKET5, BUCKET3, BUCKET4, BUCKET2, BUCKET3, BUCKET8, No
268.7, 18.0, BUCKET3, BUCKET7, BUCKET6, BUCKET8, BUCKET4, BUCKET3, BUCKET2, BUCKET3, BUCKET10, BUCKET5, BUCKET1, BUCKET8, BUCKET2, BUCKET4, BUCKET8, No
268.83, 17.0, BUCKET2, BUCKET7, BUCKET6, BUCKET8, BUCKET4, BUCKET3, BUCKET1, BUCKET3, BUCKET10, BUCKET5, BUCKET1, BUCKET10, BUCKET2, BUCKET5, BUCKET8, No
269.67, 17.0, BUCKET1, BUCKET9, BUCKET8, BUCKET7, BUCKET6, BUCKET4, BUCKET3, BUCKET5, BUCKET10, BUCKET5, BUCKET8, BUCKET4, BUCKET3, BUCKET7, BUCKET9, No
269.67, 17.0, BUCKET3, BUCKET9, BUCKET8, BUCKET6, BUCKET5, BUCKET4, BUCKET4, BUCKET5, BUCKET9, BUCKET5, BUCKET5, BUCKET3, BUCKET6, BUCKET7, BUCKET9, No
269.68, 17.0, BUCKET2, BUCKET9, BUCKET8, BUCKET6, BUCKET5, BUCKET5, BUCKET4, BUCKET5, BUCKET9, BUCKET5, BUCKET7, BUCKET4, BUCKET6, BUCKET7, BUCKET9, No
270.13, 16.0, BUCKET1, BUCKET10, BUCKET9, BUCKET6, BUCKET5, BUCKET7, BUCKET6, BUCKET8, BUCKET9, BUCKET5, BUCKET9, BUCKET4, BUCKET7, BUCKET8, BUCKET9, No
269.68, 16.0, BUCKET1, BUCKET9, BUCKET8, BUCKET6, BUCKET6, BUCKET5, BUCKET6, BUCKET6, BUCKET9, BUCKET5, BUCKET7, BUCKET4, BUCKET6, BUCKET7, BUCKET9, No
269.68, 16.0, BUCKET2, BUCKET9, BUCKET8, BUCKET6, BUCKET6, BUCKET7, BUCKET6, BUCKET6, BUCKET9, BUCKET5, BUCKET7, BUCKET4, BUCKET6, BUCKET8, BUCKET9, No
270.04, 16.0, BUCKET1, BUCKET10, BUCKET8, BUCKET6, BUCKET6, BUCKET9, BUCKET6, BUCKET8, BUCKET9, BUCKET5, BUCKET8, BUCKET5, BUCKET7, BUCKET8, BUCKET9, No
269.83, 15.0, BUCKET4, BUCKET10, BUCKET8, BUCKET5, BUCKET3, BUCKET9, BUCKET6, BUCKET8, BUCKET9, BUCKET5, BUCKET9, BUCKET5, BUCKET7, BUCKET8, BUCKET9, No
269.95, 15.0, BUCKET3, BUCKET11, BUCKET8, BUCKET5, BUCKET3, BUCKET10, BUCKET6, BUCKET8, BUCKET9, BUCKET5, BUCKET9, BUCKET7, BUCKET7, BUCKET8, BUCKET9, No
269.97, 15.0, BUCKET2, BUCKET11, BUCKET8, BUCKET5, BUCKET3, BUCKET10, BUCKET6, BUCKET9, BUCKET9, BUCKET5, BUCKET10, BUCKET4, BUCKET7, BUCKET8, BUCKET9, No
